번호,운영상태,시설명,도로명전체주소,최대수용인원,위도(EPSG4326),경도(EPSG4326)
92,사용중,"연강빌딩, 두산아트센터 지하1~5층","서울특별시 종로구 종로33길 15 (연지동, 두산아트센터)",11110,37.571857060265216,127.00127067710063
93,사용중,현대그룹빌딩 지하1층,"서울특별시 종로구 율곡로 194 (연지동, 현대그룹빌딩)",2547,37.57559803435426,127.00026603501632
94,사용중,종오지하쇼핑센터 지하1층,"서울특별시 종로구 종로 지하 200 (종로5가, 종오지하쇼핑센터)",2801,37.57075774570602,126.99994277267218
95,사용중,지하철1호선 동묘앞역 대합실 승강장 지하1층,"서울특별시 종로구 종로 359, 동묘앞역 지하1층 (숭인동)",6667,37.57367267492826,127.01737305618684
96,사용중,숭인상가아파트 지하1층,"서울특별시 종로구 청계천로 391, 지하1층 (숭인동, 숭인상가아파트)",1360,37.57210126365796,127.02071019202732
97,사용중,서진빌딩 지하1층,"서울특별시 종로구 난계로 247, 서진빌딩 지하1층 (숭인동)",660,37.57368581043283,127.02306559323218
98,사용중,진형빌딩 지하1층,"서울특별시 종로구 종로 386, 진형빌딩 지하1층 (숭인동)",889,37.57420241053118,127.02020769406876
100,사용중,서울대학교병원 의학연구혁신센터 지하4층 주차장,"서울특별시 종로구 대학로 71, 서울대학교병원 의학연구혁신센터 (연건동)",4226,37.57766230506952,127.0018746379688
101,사용중,금호팔레스빌딩 지하1~2층,"서울특별시 종로구 지봉로 29 (창신동, 금호팔레스빌딩)",2272,37.57260821996063,127.01537699507948
102,사용중,시즌빌딩 지하2~5층,"서울특별시 종로구 지봉로 19 (창신동, 삼우텍스프라자)",14939,37.57174164004587,127.01546773189544
103,사용중,두산아파트 지하1~2층,"서울특별시 종로구 지봉로5길 7 (창신동, 두산아파트)",18078,37.57440423595678,127.01509895527217
104,사용중,지하철1호선 동대문역 대합실 승강장,"서울특별시 종로구 종로 지하 302 (창신동, 1호선 동대문역)",6654,37.57174874477808,127.01129048867637
105,사용중,지하철4호선 동대문역 대합실 지하4층 승강장,"서울특별시 종로구 율곡로 지하 308 (종로6가, 4호선동대문역)",4158,37.57037804253119,127.0093889498207
106,사용중,동신교회 지하1층,"서울특별시 종로구 종로44길 43 (창신동, 동신교회,동신교회교육관)",375,37.57077886185567,127.0126780946532
108,사용중,지하철6호선 동묘앞역 대합실 승강장,"서울특별시 종로구 지봉로 지하24, 6호선 동묘앞역 (숭인동)",16970,37.57220011944668,127.01574094122084
109,사용중,서울영천교회 지하1층,"서울특별시 종로구 통일로12길 14 (행촌동, 영천교회)",1176,37.57337111889599,126.96024604702664
110,사용중,"성균관대학교 600주년기념관 지하2,3,4층","서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",8260,37.58490741865327,126.99694886505672
111,사용중,인왕산아이파크아파트 주차장 지하2층,"서울특별시 종로구 통일로16길 8-3, 109동 지하1층 (무악동, 인왕산아이파크)",1569,37.57610871009695,126.95753981653831
112,사용중,지하철5호선 광화문역 지하1~3층 대합실 승강장,"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 지하1~3층 (세종로)",11443,37.5716501220266,126.97715638910336
114,사용중,두산위브파빌리온 지하2~3층,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온)",9764,37.57231070783611,126.9817338873914
115,사용중,"GS건설, 그랑서울 지하2~7층",서울특별시 종로구 종로 33 (청진동),50070,37.57044711000584,126.98114900114754
116,사용중,광화문역연결 청진지하공공보도,"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 (세종로)",2441,37.5716501220266,126.97715638910336
117,사용중,동아일보사 지하2~4층,"서울특별시 종로구 청계천로 1 (서린동, 동아일보사)",5006,37.56947758313516,126.97779641524257
118,사용중,신교공영주차장 지하1층~4층,"서울특별시 종로구 자하문로 89, 종로구 장애인복지관 및 푸르메재활센터(신교공영주차장) (신교동)",7071,37.58397860908686,126.97009015697296
119,사용중,상명대학교 박물관 지하주차장,"서울특별시 종로구 평창문화로 151, 지하주차장 (평창동)",1187,37.61040054900791,126.9763074413856
120,사용중,창진파크팰리스 지하1층(공사 중 진입 불가),"서울특별시 종로구 평창문화로 87, 창진파크팰리스 지하1층 (평창동)",1091,37.607047178162425,126.9708075076014
121,사용중,서울세검정초등학교 지하2층,"서울특별시 종로구 세검정로9길 1 (신영동, 서울세검정초등학교)",545,37.60315310853331,126.96136705187185
122,사용중,상명대학교 미래백년관 지하2층~3층,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",6774,37.60182056780232,126.95497524379992
123,사용중,상명대학교 자하관 지하1층,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",1202,37.60182056780232,126.95497524379992
124,사용중,올림픽기념 국민생활관 지하1층,"서울특별시 종로구 성균관로 91 (혜화동, 국민생활관)",1787,37.59001485363123,126.99898391875064
125,사용중,종로청계힐스테이트아파트 지하1층,"서울특별시 종로구 숭인동길 21, 지하1층 (숭인동, 종로청계힐스테이트)",15680,37.57589563532384,127.02158211103716
128,사용중,인왕산2차 아이파크아파트 지하1층,"서울특별시 종로구 통일로18길 34, 201동 지하1층 (무악동, 인왕산2차아이파크아파트)",4169,37.5760841399954,126.95911825248186
129,사용중,원서빌딩 지하주차장 1층,"서울특별시 종로구 창덕궁1길 13, 원서빌딩 (원서동)",903,37.57922843725103,126.98843500354305
130,사용중,경희궁롯데캐슬아파트 지하2층,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬)",11503,37.57350960518949,126.95943707414236
131,사용중,SK에코플랜트 수송스퀘어 지하2~6층,"서울특별시 종로구 율곡로2길 19, 수송스퀘어 (수송동)",15743,37.57470120741301,126.98089031176087
132,사용중,삼성아파트 지하주차장 1~2층,"서울특별시 종로구 평창문화로 172 (평창동, 삼성아파트)",7495,37.61102288666165,126.97852553178298
133,사용중,반얀트리클럽앤스파서울 지하1~2층,"서울특별시 중구 장충단로 60 (장충동2가, 반얀트리 클럽 앤 스파 서울)",6277,37.55112381691272,127.00085577805964
134,사용중,3호선약수역지하철승강장,"서울특별시 중구 다산로 지하122, 약수역 3호선 (신당동)",1367,37.554665497305365,127.0107423355242
135,사용중,서울역우체국앞지하보도,"서울특별시 중구 통일로 21 (봉래동2가, 서울역앞우체국)",600,37.55753890576435,126.97144409996396
136,사용중,단암타워빌딩 지하1~2층,"서울특별시 중구 소월로 10 (남대문로5가, 단암빌딩)",2000,37.55862614936221,126.97554943897046
137,사용중,앰배서더호텔 지하1~2층,"서울특별시 중구 동호로 287 (장충동2가, 그랜드앰배서더서울)",4493,37.56011824595524,127.00259491651896
138,사용중,천수빌딩KEB하나은행 지하1층,"서울특별시 중구 수표로 67 (수표동, 외환은행)",2147,37.56728490079851,126.98943685759552
139,사용중,금세기빌딩 지하2~3층,"서울특별시 중구 무교로 6 (을지로1가, 금세기빌딩)",4720,37.56645416762749,126.97934825640992
140,사용중,시청광장지하쇼핑센터,"서울특별시 중구 을지로 지하 12 (을지로1가, 시청광장지하쇼핑센터)",1560,37.56596076170285,126.97908777726823
141,사용중,을지로입구지하쇼핑센터,"서울특별시 중구 을지로 지하58, 을지로입구지하쇼핑센터 (을지로2가)",2200,37.56611284974552,126.98415290178684
142,사용중,3호선동대입구역지하철승강장,"서울특별시 중구 동호로 지하 256 (장충동2가, 동대입구역 3호선)",10775,37.55909276775151,127.00542974829504
143,사용중,선일빌딩3호선약수역지하철승강장,"서울특별시 중구 동호로 191 (신당동, 선일빌딩)",7545,37.55507180053568,127.01010499694188
144,사용중,을지로지하상가,"서울특별시 중구 을지로 지하 88 (을지로2가, 을지로2구역지하쇼핑)",17490,37.56616365769674,126.98756664160392
145,사용중,2호선을지로입구역지하철승강장,"서울특별시 중구 을지로 지하 42 (을지로1가, 을지로입구역 2호선)",12615,37.566035912269,126.98235941562102
146,사용중,신당지하쇼핑센터,"서울특별시 중구 퇴계로85길 지하 56 (황학동, 신당지하쇼핑센터)",1711,37.56832853941904,127.01961766194022
148,사용중,조양빌딩신관 지하1~2층,"서울특별시 중구 삼일대로6길 5, 조양빌딩신관 (충무로2가)",3455,37.56247549994449,126.98931175201255
149,사용중,한국은행앞지하보도,"서울특별시 중구 남대문로 39 (남대문로3가, 한국은행건물)",431,37.56165608050204,126.98009700640802
150,사용중,롯데백화점 본점 지하주차장 2~7층,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 본점)",47963,37.56461599890018,126.98206477432448
151,사용중,삼성본관 지하2~3층,"서울특별시 중구 세종대로 67 (태평로2가, 삼성본관빌딩)",10490,37.562385711487714,126.97585409026566
152,사용중,대한상공회의소 지하3층,"서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소)",6095,37.560452466816486,126.97389341182505
153,사용중,프라자호텔 지하2층,"서울특별시 중구 소공로 119 (태평로2가, 서울프라자호텔)",1579,37.56475784933132,126.97817984800108
154,사용중,2호선시청역지하철승강장,"서울특별시 중구 서소문로 지하 127 (서소문동, 시청역 2호선)",10087,37.56356783789667,126.97526859618075
155,사용중,소공지하쇼핑센터,"서울특별시 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)",6854,37.56385499164738,126.9796180111305
157,사용중,남대문로지하쇼핑센터,"서울특별시 중구 남대문로 지하14, 남대문로지하쇼핑센터 (남대문로3가)",3707,37.56085909400669,126.97735178971035
158,사용중,남대문앞지하보도,"서울특별시 중구 세종대로 50 (남대문로4가, 흥국생명빌딩)",535,37.56082696469122,126.9760652426146
159,사용중,4호선회현역지하철승강장,"서울특별시 중구 퇴계로 지하 54 (남창동, 회현역 4호선)",9642,37.55855099831895,126.97830171394352
160,사용중,부영빌딩 지하3층,"서울특별시 중구 세종대로9길 42, 부영빌딩 (서소문동)",3419,37.56160902702944,126.97364732384332
161,사용중,남산입구지하보도,"서울특별시 중구 소월로 3 (남창동, 롯데손해보험빌딩)",751,37.559385517615205,126.97606971680165
162,사용중,서울역앞지하보도,"서울특별시 중구 세종대로 지하2, 서울역 1호선 (남대문로5가)",1826,37.55692795477346,126.97255639854666
163,사용중,삼익패션타운 지하2~4층,서울특별시 중구 남대문시장8길 7(남창동),5526,37.56014428146534,126.97883240889388
164,사용중,1호선시청역지하철승강장,"서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)",10443,37.565471899527694,126.97699297993226
165,사용중,명동역지하철승강장,"서울특별시 중구 퇴계로 지하 126 (충무로2가, 명동역 4호선)",11969,37.560904705432336,126.98591109997582
166,사용중,덕수궁앞지하보도,"서울특별시 중구 세종대로 124 (태평로1가, 프레스센터)",543,37.56730164033538,126.97769815383884
167,사용중,3호선충무로역지하철승강장,"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",18756,37.56143760418142,126.99553823334142
168,사용중,3호선을지로3가역지하철승강장,"서울특별시 중구 을지로 지하106, 을지로3가역 2호선 (을지로3가)",20035,37.56624384099566,126.99028179769635
169,사용중,연세봉래빌딩 지하1~3층,"서울특별시 중구 칠패로 36 (봉래동1가, 연세봉래빌딩)",2191,37.5595110466986,126.97278510731547
170,사용중,회현지하쇼핑센터,"서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터)",9306,37.56043830862701,126.98206133031664
171,사용중,명동지하쇼핑센터,"서울특별시 중구 남대문로 지하 72 (남대문로2가, 명동지하쇼핑센터)",2130,37.56363702237599,126.982076641632
172,사용중,6호선버티고개역지하철승강장,"서울특별시 중구 다산로 지하 38 (신당동, 버티고개역 6호선)",7609,37.54794357066245,127.00697726349352
